time,V_ai0,V_ai1
0.0555 sec,3.44761778380666,8.17096064362672
0.05575 sec,3.44761778380666,8.1633239376341
0.056 sec,3.44761778380666,8.17605178095513
0.05625 sec,3.44252675917688,8.17859734961934
0.0565 sec,3.4374357345471,8.16841507496251
0.05675 sec,3.44507227149177,8.17605178095513
0.057 sec,3.46034534538112,8.17350621229092
0.05725 sec,3.44761778380666,8.17605178095513
0.0575 sec,3.4374357345471,8.17859734961934
0.05775 sec,3.45016329612156,8.1633239376341
0.058 sec,3.44507227149177,8.16841507496251
0.05825 sec,3.45016329612156,8.17096064362672
0.0585 sec,3.44507227149177,8.17096064362672
0.05875 sec,3.43998124686199,8.16841507496251
0.059 sec,3.44252675917688,8.17859734961934
0.05925 sec,3.43998124686199,8.17605178095513
0.0595 sec,3.44761778380666,8.16841507496251
0.05975 sec,3.45525432075133,8.17859734961934
0.06 sec,3.44507227149177,8.17350621229092
0.06025 sec,3.4374357345471,8.16586950629831
0.0605 sec,3.44507227149177,8.16841507496251
0.06075 sec,3.45016329612156,8.18368848694775
0.061 sec,3.44252675917688,8.17096064362672
0.06125 sec,3.44252675917688,8.16841507496251
0.0615 sec,3.44761778380666,8.17859734961934
0.06175 sec,3.44761778380666,8.17605178095513
0.062 sec,3.43998124686199,8.17096064362672
0.06225 sec,3.45016329612156,8.08950244637212
0.0625 sec,3.44252675917688,8.08695687770791
0.06275 sec,3.43998124686199,8.0844113090437
0.063 sec,3.44507227149177,8.08695687770791
0.06325 sec,3.45525432075133,8.07932017171529
0.0635 sec,3.45016329612156,8.08695687770791
0.06375 sec,3.4374357345471,8.08950244637212
0.064 sec,3.44761778380666,8.07932017171529
0.06425 sec,3.45016329612156,8.07932017171529
0.0645 sec,3.44252675917688,8.09459358370053
0.06475 sec,3.44252675917688,8.17096064362672
0.065 sec,3.45016329612156,8.17096064362672
0.06525 sec,3.45016329612156,8.17859734961934
0.0655 sec,3.44252675917688,8.17350621229092
0.06575 sec,3.43489022223221,8.1633239376341
0.066 sec,3.44252675917688,8.17859734961934
